englishrivername,estuary,lengthofmainriver,manageend,manageendx_3826,manageendy_3826,managelength,managestart,managestartx_3826,managestarty_3826,passingcountycode,passingcountyname,responsibleauthority,rivercode,rivername
"Tamsui River",新北市淡水區,158.7,下游屬台北地區防洪計畫範圍，無公告治理計畫,,,,石門水庫後池堰(為大漢溪治理計畫，終點僅至三峽河匯流口),2746208.485,275562.405,63000,臺北市,第十河川分署,114000,淡水河
"Tamsui River",新北市淡水區,158.7,下游屬台北地區防洪計畫範圍，無公告治理計畫,,,,石門水庫後池堰(為大漢溪治理計畫，終點僅至三峽河匯流口),2746208.485,275562.405,65000,新北市,第十河川分署,114000,淡水河
"Tamsui River",新北市淡水區,158.7,下游屬台北地區防洪計畫範圍，無公告治理計畫,,,,石門水庫後池堰(為大漢溪治理計畫，終點僅至三峽河匯流口),2746208.485,275562.405,10017,基隆市,第十河川分署,114000,淡水河
"Tamsui River",新北市淡水區,158.7,下游屬台北地區防洪計畫範圍，無公告治理計畫,,,,石門水庫後池堰(為大漢溪治理計畫，終點僅至三峽河匯流口),2746208.485,275562.405,68000,桃園市,第十河川分署,114000,淡水河
"Tamsui River",新北市淡水區,158.7,下游屬台北地區防洪計畫範圍，無公告治理計畫,,,,石門水庫後池堰(為大漢溪治理計畫，終點僅至三峽河匯流口),2746208.485,275562.405,10004,新竹縣,第十河川分署,114000,淡水河
"Huang River",新北市金山區,13.75,河口斷面00,314724,2791730,6.46,無名橋下游斷面15-01,309825,2788950,65000,新北市,第十河川分署,101000,磺溪
"Huang River",新北市金山區,13.75,河口斷面00,314724,2791730,6.46,無名橋下游斷面15-01,309825,2788950,63000,臺北市,第十河川分署,101000,磺溪
"Lanyang River",宜蘭縣壯圍鄉,73,蘭陽溪河口(左岸),2734776.593,334076.644,29.5,牛鬥橋(左岸),2726477.585,307157.09,10002,宜蘭縣,第一河川分署,256000,蘭陽溪
"Lanyang River",宜蘭縣壯圍鄉,73,蘭陽溪河口(右岸),2733241.261,333942.68,29.5,牛鬥橋(右岸),2726190.281,307631.87,10002,宜蘭縣,第一河川分署,256000,蘭陽溪
"Fengshan River",新竹縣竹北市嵌子腳附近,45.45,出海口,2749773,243574,28.26,關西鎮渡船頭橋(下游側),2742033,267744,10004,新竹縣,第二河川分署,129010,鳳山溪
"Touqian River",新竹市南寮附近,,出海口,2749325,243328,24,與上坪溪及油羅溪匯流處,2735519,260966,10004,新竹縣,第二河川分署,130000,頭前溪
"Touqian River",新竹市南寮附近,,出海口,2749325,243328,24,與上坪溪及油羅溪匯流處,2735519,260966,10018,新竹市,第二河川分署,130000,頭前溪
"Zhonggang River",苗栗縣竹南與後龍鎮界處,54,出海口,2729400,232873,35.5,東河溪斷面編號13-1,2721316,252962,10005,苗栗縣,第二河川分署,134000,中港溪
"Zhonggang River",苗栗縣竹南與後龍鎮界處,54,出海口,2729400,232873,35.5,東河溪斷面編號13-1,2721316,252962,10004,新竹縣,第二河川分署,134000,中港溪
"Houlong River",苗栗縣後龍鎮公司寮附近,58.3,出海口,225264,2723569,40,社寮角堤防堤頭,237887,2702611,10005,苗栗縣,第二河川分署,135000,後龍溪
"Daan River",臺中市,95.7,梅象橋(左岸),209143,2699281,50,河口(左岸),247535,2697312,10005,苗栗縣,第三河川分署,140000,大安溪
"Daan River",臺中市,95.7,梅象橋(右岸),209637,2700401,50,河口(右岸),247440,2697646,10005,苗栗縣,第三河川分署,140000,大安溪
"Daan River",臺中市,95.7,梅象橋(左岸),209143,2699281,50,河口(左岸),247535,2697312,10019,臺中市,第三河川分署,140000,大安溪
"Daan River",臺中市,95.7,梅象橋(右岸),209637,2700401,50,河口(右岸),247440,2697646,10019,臺中市,第三河川分署,140000,大安溪
"Dajia River",臺中市,124.2,天輪壩址(左岸),251543,2678320,65.5,河口(左岸),203122,2691923,10002,宜蘭縣,第三河川分署,142000,大甲溪
"Dajia River",臺中市,124.2,天輪壩址(右岸),251577,2678397,65.5,河口(右岸),203741,2693492,10002,宜蘭縣,第三河川分署,142000,大甲溪
"Dajia River",臺中市,124.2,天輪壩址(左岸),251543,2678320,65.5,河口(左岸),203122,2691923,10008,南投縣,第三河川分署,142000,大甲溪
"Dajia River",臺中市,124.2,天輪壩址(右岸),251577,2678397,65.5,河口(右岸),203741,2693492,10008,南投縣,第三河川分署,142000,大甲溪
"Dajia River",臺中市,124.2,天輪壩址(左岸),251543,2678320,65.5,河口(左岸),203122,2691923,10019,臺中市,第三河川分署,142000,大甲溪
"Dajia River",臺中市,124.2,天輪壩址(右岸),251577,2678397,65.5,河口(右岸),203741,2693492,10019,臺中市,第三河川分署,142000,大甲溪
"Wu River",臺中市、彰化縣交界,119.13,埔里鎮觀音橋,241063,2653134,68,河口(左岸),198073,2675447,10019,臺中市,第三河川分署,143000,烏溪
"Wu River",臺中市、彰化縣交界,119.13,埔里鎮觀音橋,241150,2653247,68,河口(右岸),198039,2677603,10019,臺中市,第三河川分署,143000,烏溪
"Wu River",臺中市、彰化縣交界,119.13,埔里鎮觀音橋,241063,2653134,68,河口(左岸),198073,2675447,10007,彰化縣,第三河川分署,143000,烏溪
"Wu River",臺中市、彰化縣交界,119.13,埔里鎮觀音橋,241150,2653247,68,河口(右岸),198039,2677603,10007,彰化縣,第三河川分署,143000,烏溪
"Wu River",臺中市、彰化縣交界,119.13,埔里鎮觀音橋,241063,2653134,68,河口(左岸),198073,2675447,10008,南投縣,第三河川分署,143000,烏溪
"Wu River",臺中市、彰化縣交界,119.13,埔里鎮觀音橋,241150,2653247,68,河口(右岸),198039,2677603,10008,南投縣,第三河川分署,143000,烏溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(左岸),171036.505,2635917.985,153.8,濁水溪與塔羅灣溪匯流口(左岸),267698,2658090,10007,彰化縣,第四河川分署,151000,濁水溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(右岸),174925.64,2639461.306,153.8,濁水溪與塔羅灣溪匯流口(右岸),267768,2658158,10007,彰化縣,第四河川分署,151000,濁水溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(左岸),171036.505,2635917.985,153.8,濁水溪與塔羅灣溪匯流口(左岸),267698,2658090,10009,雲林縣,第四河川分署,151000,濁水溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(右岸),174925.64,2639461.306,153.8,濁水溪與塔羅灣溪匯流口(右岸),267768,2658158,10009,雲林縣,第四河川分署,151000,濁水溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(左岸),171036.505,2635917.985,153.8,濁水溪與塔羅灣溪匯流口(左岸),267698,2658090,10010,嘉義縣,第四河川分署,151000,濁水溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(右岸),174925.64,2639461.306,153.8,濁水溪與塔羅灣溪匯流口(右岸),267768,2658158,10010,嘉義縣,第四河川分署,151000,濁水溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(左岸),171036.505,2635917.985,153.8,濁水溪與塔羅灣溪匯流口(左岸),267698,2658090,10008,南投縣,第四河川分署,151000,濁水溪
"Zhuoshui River",彰化縣大城鄉與雲林縣麥寮鄉間,186.6,濁水溪出海口(右岸),174925.64,2639461.306,153.8,濁水溪與塔羅灣溪匯流口(右岸),267768,2658158,10008,南投縣,第四河川分署,151000,濁水溪
"Beigang River",雲林溪口湖鄉台子村口湖村,82,雲林縣虎尾鎮158線平和橋,194875.346,2621885.264,50,河口,159616.959,2604887.352,10009,雲林縣,第五河川分署,154000,北港溪
"Beigang River",雲林溪口湖鄉台子村口湖村,82,雲林縣虎尾鎮158線平和橋,194875.346,2621885.264,50,河口,159616.959,2604887.352,10010,嘉義縣,第五河川分署,154000,北港溪
"Pozi River",,42,出海口,162285.6271,2593610.622,42,牛稠溪橋,193140.9397,2601270.983,10010,嘉義縣,第五河川分署,155000,朴子溪
"Pozi River",,42,出海口,162285.6271,2593610.622,42,牛稠溪橋,193140.9397,2601270.983,10020,嘉義市,第五河川分署,155000,朴子溪
"Bazhang River",嘉義縣布袋鎮好美里,80.86,觸口橋,209727,2592930.1,61,出海口,160199,2580500,10010,嘉義縣,第五河川分署,158000,八掌溪
"Bazhang River",嘉義縣布袋鎮好美里,80.86,觸口橋,209727,2592930.1,61,出海口,160199,2580500,10020,嘉義市,第五河川分署,158000,八掌溪
"Bazhang River",嘉義縣布袋鎮好美里,80.86,觸口橋,209727,2592930.1,61,出海口,160199,2580500,10021,臺南市,第五河川分署,158000,八掌溪
"Jishui River",台南市北門區附近,65,白河水庫溢洪道消能池(左岸),157881,2576923,57,出海口(左岸),195670,2583842,10021,臺南市,第五河川分署,159000,急水溪
"Jishui River",台南市北門區附近,65,白河水庫溢洪道消能池(右岸),159189,2578261,57,出海口(右岸),195647,2583989,10021,臺南市,第五河川分署,159000,急水溪
"Zengwen River",臺南市安南區土城西北方,138.47,出海口,153797.8,2549802,82,曾文水庫溢洪道(曾斷178),202141,2571911,10010,嘉義縣,第六河川分署,163000,曾文溪
"Zengwen River",臺南市安南區土城西北方,138.47,出海口,153797.8,2549802,82,曾文水庫溢洪道(曾斷178),202141,2571911,64000,高雄市,第六河川分署,163000,曾文溪
"Zengwen River",臺南市安南區土城西北方,138.47,出海口,153797.8,2549802,82,曾文水庫溢洪道(曾斷178),202141,2571911,10021,臺南市,第六河川分署,163000,曾文溪
"Yanshui River",臺南市安南區安平區間,41.3,河口,161673.457,2544232.371,35.6,臺南市關廟區新南??橋,184261.3108,2541745.782,10021,臺南市,第六河川分署,165000,鹽水溪
"Erren River",臺南市南區高雄市茄萣區間,63.17,河口(左岸),165522,2534708,31.304,高雄市內門區內興里內興橋(左岸),195311,2543731,10021,臺南市,第六河川分署,166000,二仁溪
"Erren River",臺南市南區高雄市茄萣區間,63.17,河口(右岸),165435,2535067,31.304,高雄市內門區內興里內興橋(右岸),195301,2543734,10021,臺南市,第六河川分署,166000,二仁溪
"Erren River",臺南市南區高雄市茄萣區間,63.17,河口(左岸),165522,2534708,31.304,高雄市內門區內興里內興橋(左岸),195311,2543731,64000,高雄市,第六河川分署,166000,二仁溪
"Erren River",臺南市南區高雄市茄萣區間,63.17,河口(右岸),165435,2535067,31.304,高雄市內門區內興里內興橋(右岸),195301,2543734,64000,高雄市,第六河川分署,166000,二仁溪
"Agongdian River",高雄市永安區彌陀區間,38,河口(左岸),182679,2523456,17.9,阿公店水庫溢洪管出口(左岸),169573,2522715,64000,高雄市,第六河川分署,167000,阿公店溪
"Agongdian River",高雄市永安區彌陀區間,38,河口(右岸),182643,2523492,17.9,阿公店水庫溢洪管出口(右岸),169540,2522854,64000,高雄市,第六河川分署,167000,阿公店溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,本流：嶺口,194193.0467,2520241.002,35.5,本流：出海口,190630.7986,2486041.756,64000,高雄市,第七河川分署,173000,高屏溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,荖濃溪：原興輝大橋舊址,228925.3057,2566559.992,35.5,荖濃溪：嶺口,194193.0467,2520241.002,64000,高雄市,第七河川分署,173000,高屏溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,旗山溪：長朗吊橋舊址,218217.587,2568296.042,66.87,旗山溪：嶺口,194193.0467,2520241.002,64000,高雄市,第七河川分署,173000,高屏溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,隘寮溪：隘寮南北溪匯流處,217146.6626,2511363.042,35.5,隘寮溪：載興,200477.0361,2521392.997,64000,高雄市,第七河川分署,173000,高屏溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,1.本流：嶺口2.荖濃溪：原興輝大橋舊址3.旗山溪：長朗吊橋4.隘寮溪：隘寮南北溪匯流處,194193.0467,2520241.002,35.5,本流：出海口,190630.7986,2486041.756,10013,屏東縣,第七河川分署,173000,高屏溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,1.本流：嶺口2.荖濃溪：原興輝大橋舊址3.旗山溪：長朗吊橋4.隘寮溪：隘寮南北溪匯流處,228925.3057,2566559.992,69.6,荖濃溪：嶺口,194193.0467,2520241.002,10013,屏東縣,第七河川分署,173000,高屏溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,1.本流：嶺口2.荖濃溪：原興輝大橋舊址3.旗山溪：長朗吊橋4.隘寮溪：隘寮南北溪匯流處,207393.0005,2554132.199,66.9,旗山溪：嶺口,194193.0467,2520241.002,10013,屏東縣,第七河川分署,173000,高屏溪
"Gaoping River",屏東縣新園鄉及高雄市林園區,171,1.本流：嶺口2.荖濃溪：原興輝大橋舊址3.旗山溪：長朗吊橋4.隘寮溪：隘寮南北溪匯流處,217146.6626,2511363.042,15.16,隘寮溪：載興,200477.0361,2521392.997,10013,屏東縣,第七河川分署,173000,高屏溪
"Donggang River",屏東縣東港鎮,33,涼山橋(牛角灣溪),212446.2251,2510031.5,45.5,出海口,191973.7937,2485441.466,10013,屏東縣,第七河川分署,174000,東港溪
"Donggang River",屏東縣東港鎮,33,"萬安 一號橋(萬安溪)",213160.1246,2502831.622,45.5,出海口,191973.7937,2485441.466,10013,屏東縣,第七河川分署,174000,東港溪
"Sizhong River",屏東縣車城鄉,31.91,河口,219752.2935,2440586.992,14.7,牡丹大橋,227678.3869,2447709.744,10013,屏東縣,第七河川分署,185000,四重溪
"Beinan River",臺東市北郊,84.35,出海口,268112.29,2518358.44,52.54,新武橋,262231.71,2559053.58,10014,臺東縣,第八河川分署,220000,卑南溪
"Xiuguluan River",豐濱鄉港口及靜埔村流入太平洋,81.15,秀姑巒溪出海口,301227,2595745,71.8,秀姑巒溪與龍泉溪匯流口(左岸),270201,2561647,10015,花蓮縣,第九河川分署,237000,秀姑巒溪
"Xiuguluan River",豐濱鄉港口及靜埔村流入太平洋,81.15,秀姑巒溪出海口,301227,2595745,71.8,秀姑巒溪與龍泉溪匯流口(右岸),269764,2561566,10015,花蓮縣,第九河川分署,237000,秀姑巒溪
"Xiuguluan River",豐濱鄉港口及靜埔村流入太平洋,81.15,秀姑巒溪出海口,301227,2595745,71.8,秀姑巒溪與龍泉溪匯流口(左岸),270201,2561647,10014,臺東縣,第九河川分署,237000,秀姑巒溪
"Xiuguluan River",豐濱鄉港口及靜埔村流入太平洋,81.15,秀姑巒溪出海口,301227,2595745,71.8,秀姑巒溪與龍泉溪匯流口(右岸),269764,2561566,10014,臺東縣,第九河川分署,237000,秀姑巒溪
"Hualian River",花蓮市南郊,57.28,出海口,311925,2648800,47.79,大豐二號堤防堤頭上游200公尺處,287110,2612604,10015,花蓮縣,第九河川分署,242000,花蓮溪
"Heping River",宜蘭縣南澳鄉及花蓮縣秀林鄉交接處,48.2,出海口堤尾接事業海堤處,2689283.998,328137.307,4.1,大濁水橋上游澳花一號堤防斷面13(左岸),2691389.488,324518.458,10002,宜蘭縣,第一河川分署,250000,和平溪
"Heping River",宜蘭縣南澳鄉及花蓮縣秀林鄉交接處,48.2,出海口堤尾接事業海堤處,2689299.869,328142.724,4.1,大濁水橋上游澳花一號堤防斷面13(右岸),2690633.069,324391.014,10002,宜蘭縣,第一河川分署,250000,和平溪
"Heping River",宜蘭縣南澳鄉及花蓮縣秀林鄉交接處,48.2,出海口堤尾接事業海堤處,2689283.998,328137.307,4.1,大濁水橋上游澳花一號堤防斷面13(左岸),2691389.488,324518.458,10015,花蓮縣,第一河川分署,250000,和平溪
"Heping River",宜蘭縣南澳鄉及花蓮縣秀林鄉交接處,48.2,出海口堤尾接事業海堤處,2689299.869,328142.724,4.1,大濁水橋上游澳花一號堤防斷面13(右岸),2690633.069,324391.014,10015,花蓮縣,第一河川分署,250000,和平溪
